"","PID.FU","Percent.Distract","dprime_Distract","dprime_Reapp","Accuracy","ERQ_Reapp.FU","Gender","Age","ERQ_Supp.FU","DERS.FU","DERS.Nonaccept.FU","DERS.DiffGoal.FU","DERS.Impulse.FU","DERS.LimitAccess.FU","DERS.LackClarity.FU","IUS.FU","IUS_F1.FU","IUS_F2.FU","ERQ_Reapp.Diff.abs.avg","ERQ_Supp.Diff.abs.avg","ERQ_Reapp.Diff.abs.z.avg","ERQ_Supp.Diff.abs.z.avg"
"P085","P085",0.576923076923077,0.657331584388158,-0.911608380781804,0.487179487179487,27,"Male","30",21,101,15,14,18,23,12,46,28,18,5.19879518072289,8.76506024096386,-0.125635262036591,0.60863727314039
"P086","P086",0.205128205128205,0.801403472417004,-0.897694960110369,0.397435897435897,30,"Female","23",6,88,11,20,17,16,12,38,25,13,4.24698795180723,6.30722891566265,-0.333492554201841,0.034198100877128
"P087","P087",0.58974358974359,0.690435741083349,-0.876070418706625,0.5,33,"Female","29",9,74,12,12,10,20,9,45,27,18,4.2710843373494,4.03012048192771,-0.328230344273606,-0.498002896955012
"P088","P088",0.346153846153846,0.810935767676874,-0.772865157999247,0.461538461538462,38,"Female","47",11,57,9,10,7,11,9,24,16,8,7.87349397590361,3.63253012048193,0.458470039997402,-0.590926880703481
"P089","P089",0.692307692307692,0.869423773288886,-0.689760954896718,0.576923076923077,31,"Female","18",19,94,15,12,15,25,13,30,17,13,3.98192771084337,6.92168674698795,-0.391376863412416,0.177807893942944
"P090","P090",0.5,1.00708615003537,-0.536694266806244,0.564102564102564,25,"Female","28",18,130,28,23,16,31,14,44,29,15,6.28313253012048,6.24698795180723,0.111164184733947,0.0201187094000872
"P091","P091",0.448717948717949,0.981134042365942,-0.5902178692717,0.538461538461538,27,"Male","25",14,64,9,20,7,13,7,33,25,8,5.19879518072289,4.07831325301205,-0.125635262036591,-0.48673938377338
"P092","P092",0.448717948717949,0.767652403011467,-0.760086631555131,0.487179487179487,29,"Female","22",15,103,16,20,15,26,13,36,21,15,4.51204819277108,4.54819277108434,-0.275608244991265,-0.376920130252462
"P093","P093",0.41025641025641,0.764673527893089,-0.773393423677775,0.474358974358974,25,"Female","31",17,76,12,9,10,14,10,32,21,11,6.28313253012048,5.62048192771084,0.111164184733947,-0.126306961961136
"P094","P094",0.666666666666667,0.57493687464189,-1.22961739919361,0.474358974358974,26,"Male","21",8,125,23,21,19,31,13,45,26,19,5.69277108433735,4.52409638554217,-0.0177599585077904,-0.382551886843278
"P095","P095",0.525641025641026,0.971494257771045,-0.553810971415566,0.564102564102564,32,"Male","30",22,96,19,21,10,21,11,43,29,14,4.05421686746988,9.74096385542169,-0.375590233627714,0.83672341506845
"P096","P096",0.512820512820513,0.74861940621398,-0.773714980282172,0.5,37,"Female","25",16,112,20,18,16,17,17,43,27,16,6.93373493975904,5.03012048192771,0.253243852796269,-0.264284998436136
"P097","P097",0.448717948717949,0.668651356622855,-0.84883727802563,0.461538461538462,12,"Male","25",16,111,9,17,17,35,10,22,13,9,18.2228915662651,5.03012048192771,2.71858920417398,-0.264284998436136
"P098","P098",0.5,0.904998470185731,-0.624350936971714,0.538461538461538,28,"Female","21",11,103,23,14,19,30,9,37,22,15,4.84939759036145,3.63253012048193,-0.201937305995986,-0.590926880703481
